"portfolio_name","code","name","in_date","in_weight","today_date","today_weight","period_ret","Date","close"
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150127,27.9932
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150127,6.8193
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150127,28.3044
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150127,37.1927
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150127,18.9684
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150127,55.3598
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150127,25.1
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150127,23.9028
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150127,18.8505
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150127,122.0642
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150128,27.9932
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150128,6.8443
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150128,27.9072
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150128,36.6722
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150128,18.9684
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150128,55.3598
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150128,25
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150128,23.7314
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150128,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150128,121.6491
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150129,28.0642
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150129,6.836
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150129,28.2548
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150129,36.432
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150129,18.9198
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150129,55.0434
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150129,25.1
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150129,23.7314
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150129,20.0457
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150129,119.158
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150130,28.0642
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150130,6.8527
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150130,28.2548
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150130,36.432
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150130,18.9198
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150130,53.6199
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150130,24.9
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150130,23.8599
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150130,18.8715
